GME_NAAM,lat,lng
Zwollerkerspel,52.508614,6.075942
"Soerendonk, Sterksel en Gastel",51.3,5.58333333
Nieuwerkerke,51.7,3.8903
Eemsmond,53.4,6.6667
Sint Joosland,51.473157,3.659842
Winkel,52.7519,4.9036
Ooststellingwerf,52.9875,6.2914
Nieuwlande,51.446946,4.114294
Urk,52.665277777,5.605833333
Aalten,51.925,6.5808
Roxenisse,51.772222,4.047222
Pijnacker-Nootdorp,52.0317,4.415
Vlodrop,51.1333,6.0739
Haps,51.6886,5.8608
Steenderen,52.066666666,6.183333333
Herwen en Aerdt,51.8833,6.1
Cromstrijen,51.7467,4.4461
Aa en Hunze,53.0,6.75
Marken,52.458055555,5.106666666
Abcoude,52.2719,4.9703
Delfzijl,53.333333333,6.916666666
Dronten,52.524166666,5.7125
Bolsward,53.066666666,5.533333333
Lisse,52.259722222,4.561111111
Achtkarspelen,53.216666666,6.133333333
Ubbergen,51.8333,5.9167
Jorwerd,53.145277777,5.711944444
Rozendaal,52.0,5.9667
Voorst,52.2333,6.0833
Klaaskinderkerke,51.73722,3.87056
Leerdam,51.893888888,5.091388888
Dantumadeel,53.28,5.9831
's-Gravenzande,52.0019,4.1647
Wieringermeer,52.85,5.03
Petten,52.7678,4.6583
Noordwijk,52.233333333,4.433333333
Ambt Montfort,51.116666666,5.95
Bedum,53.3,6.6
Brielle,51.904166666,4.163888888
Menaldumadeel,53.216666666,5.666666666
Egmond,52.616388888,4.616388888
Makkum,53.055,5.4036
Nieuwleusen,52.5833,6.2833
Wonseradeel,53.1,5.466666666
Maassluis,51.918888888,4.256666666
Vries,53.0733,6.5769
Oukoop,52.0339,4.7731
Valkenisse,51.4889,3.5156
Valkenisse,51.398,4.071
Staveren,52.8833,5.3583
Wassenaar,52.145277777,4.400555555
Rijswijk,52.045555555,4.33
Smallingerland,53.1,6.1
Boschkapelle,51.325556,3.969444
Ezinge,53.3092,6.4431
Rijnwaarden,51.8667,6.1167
Westervoort,51.966666666,5.966666666
Meeden,53.1389,6.9275
Baambrugge,52.2461,4.9886
Colijnsplaat,51.5986,3.8481
Hendrik-Ido-Ambacht,51.85,4.63
Oud-Vroenhoven,50.847778,5.651389
Anjum,53.3747,6.1272
Zuid-Beijerland,51.7514,4.3678
Heerenveen,52.9658,6.0503
Dronrijp,53.1944,5.6447
Stedum,53.3225,6.6958
Nieuwerkerk aan den IJssel,51.965555555,4.608333333
Hooge en Lage Mierde,51.398563,5.140915
Wamel,51.88,5.4692
Overbetuwe,51.9167,5.85
Nederslingeland,51.866667,4.916667
Grootegast,53.2091,6.2674
Veur,52.083333333,4.433333333
